,Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access
4060,ELEC,REHOBOTH REH 1 - EV 1,34980 Midway Outlet Dr,,Rehoboth Beach,DE,19971,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,38.734828,-75.139183,3/17/2022,68162,2022-03-17 00:32:36 UTC,,,,7/2/2015,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
4061,ELEC,REHOBOTH REH 3 EV 1,36461 Seaside Outlet Dr,,Rehoboth Beach,DE,19971,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,38.71841,-75.112641,3/17/2022,68163,2022-03-17 00:32:36 UTC,,,,7/2/2015,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
4108,ELEC,Smyrna Rest Area,5500 DuPont Pkwy,Located in the rear of the rest area. Follow the signs for trucks.,Smyrna,DE,19977,,302-659-6750,E,,Public,24 hours daily,,,,,,2.0,,,Non-Networked,,GPS,39.322658,-75.618039,1/10/2022,68575,2022-02-10 19:42:29 UTC,P,,,6/15/2015,,,,,J1772,US,,,,Public,,public,,,REST_STOP,,,,,,,Free,,,,,,,,,,
4125,ELEC,REHOBOTH REH2 EV 1,19744-19798 DE-1,,Rehoboth Beach,DE,19971,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,38.715697,-75.109848,3/17/2022,68808,2022-03-17 00:32:36 UTC,,,,8/5/2015,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
4177,ELEC,Royal Farms - Bridgeville,18657 Sussex Hwy,,Bridgeville,DE,19933,,303-956-8600,E,,Public,24 hours daily,,,,,,2.0,,,Non-Networked,,GPS,38.72345833,-75.58873611,1/10/2022,69735,2022-02-10 19:42:29 UTC,P,,,8/26/2015,,,,,J1772,US,,,,Public,,public,,,GAS_STATION,,,,,,,Free,,,,,,,,,,
4383,ELEC,PMHS HOMEWOOD INN,640 S College Ave,,Newark,DE,19713,,888-758-4389,E,,Public,24 hours daily,,,,,,,1.0,,ChargePoint Network,http://www.chargepoint.com/,GPS,39.659548,-75.753745,3/17/2022,71195,2022-03-17 00:32:36 UTC,,,,11/19/2015,,,,,J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
5628,ELEC,ROYAL FARMS RFS 139 DC #1,6 W Lebanon Rd,,Dover,DE,19901,,888-758-4389,E,,Public,24 hours daily,,,,,,,1.0,,ChargePoint Network,http://www.chargepoint.com/,GPS,39.117778,-75.51617,3/17/2022,80911,2022-03-17 00:32:36 UTC,,,,1/18/2017,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
5700,ELEC,ROYAL FARMS RFS 142 DC #1,108 Silicato Parkway,,Milford,DE,19963,,888-758-4389,E,,Public,24 hours daily,,,,,,,1.0,,ChargePoint Network,http://www.chargepoint.com/,GPS,38.927247,-75.417979,3/17/2022,81354,2022-03-17 00:32:36 UTC,,,,2/10/2017,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
5712,ELEC,ROYAL FARMS RFS 158 DC #2,20579 Dupont Blvd,,Georgetown,DE,19947,,888-758-4389,E,,Public,24 hours daily,,,,,,,1.0,,ChargePoint Network,http://www.chargepoint.com/,GPS,38.699176,-75.400529,3/17/2022,81449,2022-03-17 00:32:36 UTC,,,,2/16/2017,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
5788,ELEC,ROYAL FARMS RFS 171 DC #2,11112 Laurel Road,,Laurel,DE,19956,,888-758-4389,E,,Public,24 hours daily,,,,,,,1.0,,ChargePoint Network,http://www.chargepoint.com/,GPS,38.554795,-75.555085,3/17/2022,82080,2022-03-17 00:32:36 UTC,,,,3/25/2017,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
5896,ELEC,ROYAL FARMS RFS 146 DC #2,304 N DuPont Blvd,,Smyrna,DE,19977,,888-758-4389,E,,Public,24 hours daily,,,,,,,1.0,,ChargePoint Network,http://www.chargepoint.com/,GPS,39.306611,-75.606279,3/17/2022,82506,2022-03-17 00:32:36 UTC,,,,5/5/2017,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
6198,ELEC,Otis Smith Park,454 E Savannah Rd,Located between Pig and Publican and Daily Market,Lewes,DE,19958,,302-645-6228,E,,Public,24 hours daily,,,,,,1.0,,,Non-Networked,,200-8,38.778332,-75.134887,12/3/2020,86271,2021-03-11 23:22:17 UTC,LG,,,8/1/2017,,,,,J1772,US,,,,Public,,public,,,PARK,,,,,,,,,,,,,,,,,
6199,ELEC,City of Lewes - Public Parking,225 Schley Ave,,Lewes,DE,19958,,302-645-6228,E,,Public,24 hours daily,,,,,,1.0,,,Non-Networked,,200-9,38.77143,-75.137003,12/3/2020,86272,2021-03-11 23:22:17 UTC,LG,,,8/1/2017,,,,,J1772,US,,,,Public,,public,,,PARKING_LOT,,,,,,,Free,,,,,,,,,,
7715,ELEC,Holts Landing State Park,26909 Holts Landing Rd,,Dagsboro,DE,19939,,302-227-2800,E,,Public,Sunrise to sunset; must pay entrance fee for access,,,,,,1.0,,,Non-Networked,,GPS,38.59069615,-75.12804594,12/3/2020,99430,2021-03-11 23:22:17 UTC,SG,,,6/15/2018,,,,,J1772,US,,,,Public,,public,,,PARK,,,,,,,Free,,,,,,,,,,
7951,ELEC,Bellevue State Park,800 Carr Rd,,Wilmington,DE,19809,,302-761-6963,E,,Public,Sunrise to sunset; 4 hour maximum,,,,,,1.0,,,Non-Networked,,GPS,39.77709476,-75.49636646,12/3/2020,100487,2021-03-11 23:22:17 UTC,SG,,,8/1/2018,,,,,J1772,US,,,,Public,,public,,,PARK,,,,,,,Free; must pay park entrance fee,,,,,,,,,,
8085,ELEC,Wawa - Tesla Supercharger,17663 Dartmouth Drive,,Lewes,DE,19958,,877-798-3752,E,,Public,24 hours daily; for Tesla use only,,,,,,,8.0,,Tesla,https://www.tesla.com/supercharger,200-9,38.74431,-75.153308,10/11/2021,102102,2021-11-04 18:37:47 UTC,P,,,7/23/2018,,,,,TESLA,US,,,,Public,,public,,,,,,,,,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,,,,,,,,,,
8086,ELEC,"Newark, DE - Tesla Supercharger",530 John F Kennedy Memorial Hwy,,Newark,DE,19702,,877-798-3752,E,,Public,24 hours daily; for Tesla use only,,,,,,,12.0,,Tesla,https://www.tesla.com/supercharger,GPS,39.663509,-75.690168,10/11/2021,102103,2021-11-04 18:37:47 UTC,P,,,6/1/2013,,,,,TESLA,US,,,,Public,,public,,,,,,,,,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,,,,,,,,,,
9922,ELEC,Hyatt Place Dewey Beach - Tesla Destination,1301 Coastal Hwy,,Dewey Beach,DE,19971,,302-864-9100  877-798-3752,E,,Public,24 hours daily; for customer use only; see front desk for access,,,,,,2.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,38.688936,-75.074622,11/3/2020,113676,2021-03-11 23:22:17 UTC,P,,,10/1/2015,,,,,TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,
9923,ELEC,Lewes City Parking Lot - Tesla Destination,225 Schley Ave,,Lewes,DE,19958,,302-703-2568  877-798-3752,E,,Public,24 hours daily,,,,,,1.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,38.77143,-75.137003,11/3/2020,113677,2021-03-11 23:22:17 UTC,P,,,8/1/2017,,,,,TESLA,US,,,,Public,,public,,,PARKING_LOT,,,,,,,Free,,,,,,,,,,
9924,ELEC,Otis Smith Park - Tesla Destination,454 E Savannah Rd,,Lewes,DE,19958,,302-645-7777  877-798-3752,E,,Public,24 hours daily,,,,,,1.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,38.777089,-75.136507,11/3/2020,113678,2021-03-11 23:22:17 UTC,P,,,8/1/2017,,,,,TESLA,US,,,,Public,,public,,,PARK,,,,,,,Free,,,,,,,,,,
9925,ELEC,DogFish Head Brewery - Tesla Destination,6 Cannery Village Center,,MIlton,DE,19968,,302-684-1000  877-798-3752,E,,Public,24 hours daily; for customer use only,,,,,,3.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,38.767283,-75.313513,11/3/2020,113679,2021-03-11 23:22:17 UTC,P,,,11/1/2018,,,,,J1772 TESLA,US,,,,Public,,public,,,BREWERY_DISTILLERY_WINERY,,,,,,,Free,,,,,,,,,,
9926,ELEC,"The Bellmoor Inn & Spa, a Select Registry Property - Tesla Destination",6 Christian St,,Rehoboth Beach,DE,19971,,302-227-5800  877-798-3752,E,,Public,24 hours daily; for customer use only; see front desk for access,,,,,,2.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,38.714651,-75.082394,11/3/2020,113680,2021-03-11 23:22:17 UTC,P,,,11/1/2015,,,,,J1772 TESLA,US,,,,Public,,public,,,INN,,,,,,,Free,,,,,,,,,,
12511,ELEC,Wawa - Tesla Supercharger,2800 North Dupont Highway,,Dover,DE,19901,,877-798-3752,E,,Public,24 hours daily; for Tesla use only,A D Debit M V,,,,,,8.0,,Tesla,https://www.tesla.com/supercharger,GPS,39.195256,-75.54727,10/11/2021,117080,2021-11-04 18:37:47 UTC,P,,,12/1/2018,,,,,TESLA,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,,,,,,,,,,
12657,ELEC,Newark Train Station,10 Mopar Dr,,Newark,DE,19713,,302-366-7000,E,,Public,24 hours daily,,,,,,10.0,,,Non-Networked,,200-9,39.669949,-75.753275,12/3/2020,117601,2021-03-11 23:22:17 UTC,P,,,12/1/2018,,,,,J1772,US,,,,Public,,public,,,PARKING_LOT,,,,,,,,,,,,,,,,,
13353,ELEC,Wawa - Tesla Supercharger,605 Naamans Road,,Brandywine,DE,19703,,877-798-3752,E,,Public,24 hours daily; for Tesla use only,,,,,,,8.0,,Tesla,https://www.tesla.com/supercharger,200-9,39.817478,-75.457259,10/11/2021,122345,2021-11-04 18:37:47 UTC,P,,,3/1/2019,,,,,TESLA,US,,,,Public,,public,,,,,,,,,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,,,,,,,,,,
13400,ELEC,Bellefonte Brewing Co - Tesla Destination,3605 Old Capitol Trl C8,,Wilmington,DE,19808,,302-407-6765  877-798-3752,E,,Public,24 hours daily; for customer use only,,,,,,2.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,39.73022,-75.633325,11/3/2020,122408,2021-03-11 23:22:17 UTC,P,,,3/1/2019,,,,,TESLA,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,
14028,ELEC,Bank of America - 1000 Samoset Dr,900 Samoset Dr,,Newark,DE,19713,,,E,,Private,,,,,,,2.0,,,Non-Networked,,200-8,39.683873,-75.675077,5/6/2021,123501,2022-02-24 20:26:06 UTC,P,,,4/14/2017,,,,,J1772,US,,,,Privé,,private,,,BANK,,,,,,,,,,,,,,,,,
14040,ELEC,Bank of America - Deerfield,655 Paper Mill Rd,,Newark,DE,19711,,,E,,Private,,,,,,,2.0,,,Non-Networked,,200-9,39.714204,-75.74402,5/6/2021,123514,2022-02-24 20:26:06 UTC,P,,,4/26/2017,,,,,J1772,US,,,,Privé,,private,,,BANK,,,,,,,,,,,,,,,,,
14596,ELEC,DUNCAN CENTER DSEU 1,21 Jerusalem Way,,Dover,DE,19901,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,39.156331,-75.531106,3/17/2022,143650,2022-03-17 00:32:36 UTC,,,,8/15/2019,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
15673,ELEC,Christiana Care Health System,4755 Ogletown Stanton Road,,Newark,DE,19718,,800-663-5633,E,,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,6.0,,,SemaCharge Network,https://semaconnect.com/,GPS,39.6878859,-75.668995,3/17/2022,148216,2022-03-17 00:22:38 UTC,,,,10/1/2017,,,,,J1772,US,,,,Public,,public,,,,,,,,,,FREE,,,,,,,,,,
15797,ELEC,DNREC Charging Station,130 West Water Street,"These charging stations are located on the west side of the parking lot, facing W. Water Street. The parking lot is called the  ""Kent County Courthouse Parking Lot,""",Dover,DE,19904,,800-663-5633,E,,Public,MO: 12:00am-12:00am; TU: 12:00am-12:00am; WE: 12:00am-12:00am; TH: 12:00am-12:00am; FR: 12:00am-12:00am; SA: 12:00am-12:00am; SU: 12:00am-12:00am,,,,,,2.0,,,SemaCharge Network,https://semaconnect.com/,GPS,39.1541941,-75.5256442,3/17/2022,148461,2022-03-17 00:22:38 UTC,,,,7/15/2016,,,,,J1772,US,,,,Public,,public,,,,,,,,,,FREE,,,,,,,,,,
15809,ELEC,Garlow Inn,82 Sussex Street,,Rehoboth Beach,DE,19971,,800-663-5633,E,,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,1.0,,,SemaCharge Network,https://semaconnect.com/,GPS,38.715967,-75.088252,3/17/2022,148483,2022-03-17 00:22:38 UTC,,,,7/4/2019,,,,,J1772,US,,,,Public,,public,,,,,,,,,,FREE,,,,,,,,,,
16867,ELEC,Rise Up Coffee Rehoboth - Tesla Destination,502  Rehoboth Ave,,Rehoboth,DE,19971,,302-567-2588  877-798-3752,E,,Public,24 hours daily,,,,,,2.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,38.714461,-75.091011,11/3/2020,150603,2021-03-11 23:22:17 UTC,P,,,9/30/2019,,,,,TESLA,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,
18271,ELEC,Bellevue Main Lot,800 Carr Road,,Wilmington,DE,19809,,800-663-5633,E,,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,1.0,,,SemaCharge Network,https://semaconnect.com/,GPS,39.7812114,-75.5023969,3/17/2022,154129,2022-03-17 00:22:38 UTC,,,,2/28/2020,,,,,J1772,US,,,,Public,,public,,,,,,,,,,FREE,,,,,,,,,,
18272,ELEC,Holts Landing State Park,39415 Inlet Road,,Rehoboth Beach,DE,19971,,800-663-5633,E,,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,1.0,,,SemaCharge Network,https://semaconnect.com/,GPS,38.6128174,-75.0716849,3/17/2022,154131,2022-03-17 00:22:38 UTC,,,,2/28/2020,,,,,J1772,US,,,,Public,,public,,,,,,,,,,FREE,,,,,,,,,,
18273,ELEC,Indian River Marina,39415 Inlet Road,,Rehoboth Beach,DE,19971,,800-663-5633,E,,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,1.0,,,SemaCharge Network,https://semaconnect.com/,GPS,38.6128174,-75.0716849,3/17/2022,154132,2022-03-17 00:22:38 UTC,,,,2/28/2020,,,,,J1772,US,,,,Public,,public,,,,,,,,,,FREE,,,,,,,,,,
18961,ELEC,Rodney Square,1000 N King St,,Wilmington,DE,19801,,,E,,Private,,,,,,,2.0,,,Non-Networked,,200-9,39.745531,-75.546151,12/9/2021,155685,2022-02-10 19:42:29 UTC,P,,,3/19/2020,,,,,J1772,US,,,,Privé,,private,,,OFFICE_BLDG,,,,,,,,,,,,,,,,,
19112,ELEC,Porter Chevrolet,414 E Cleveland Ave,,Newark,DE,19711,,302-722-4822,E,,Public,Dealership business hours,,,,,,1.0,,,Non-Networked,,GPS,39.686796,-75.737198,6/9/2020,156253,2021-03-11 23:22:17 UTC,P,,,5/8/2020,,,,,J1772,US,,,,Public,,public,,,CAR_DEALER,,,,,,,,,,,,,,,,,
19400,ELEC,Audi Wilmington,1300 N Union St,,Wilmington,DE,19806,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,3.0,,,Blink Network,http://www.blinkcharging.com/,GPS,39.757177,-75.567219,3/16/2022,158229,2022-03-16 22:55:14 UTC,,,,5/30/2020,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Level 2: $0.03 per 30 seconds,,,,,,,,,,
23205,ELEC,Greenhill Car Wash,890 Middletown Warwick Rd,,Middletown,DE,19709,,800-663-5633,E,,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,2.0,,,SemaCharge Network,https://semaconnect.com/,GPS,39.4381161,-75.7512876,3/17/2022,164785,2022-03-17 00:22:38 UTC,,,,8/1/2020,,,,,J1772,US,,,,Public,,public,,,,,,,,,,$0.00-$1.00/Hr Variable Parking Fee,,,,,,,,,,
23515,ELEC,"WAWA Store 840 - New Castle, DE",4000 N. DuPont Hwy,,New Castle,DE,19720,,833-632-2778,E,,Public,24 hours daily,,,,,,,6.0,,Electrify America,https://www.electrifyamerica.com/,GPS,39.709324,-75.562649,3/17/2022,165405,2022-03-17 01:34:10 UTC,,,,8/22/2020,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
23961,ELEC,Christiana Mall - Nordstrom,132 Christiana Mall,,Newark,DE,19702,,888-264-2208,E,,Public,6am-12am daily,,,,,,4.0,,,Volta,https://voltacharging.com/,GPS,39.680982,-75.65261,4/8/2021,166731,2022-02-10 19:42:29 UTC,P,,,8/31/2020,,,,,J1772,US,,,,Public,,public,,,SHOPPING_MALL,,,,,,,,,,,,,,,,,
23962,ELEC,Christiana Mall - Urban Outfitters,132 Christiana Mall,,Newark,DE,19702,,888-264-2208,E,,Public,6am-12am daily,,,,,,4.0,,,Volta,https://voltacharging.com/,GPS,39.679779,-75.651662,4/8/2021,166732,2022-02-10 19:42:29 UTC,P,,,8/31/2020,,,,,J1772,US,,,,Public,,public,,,SHOPPING_MALL,,,,,,,,,,,,,,,,,
23963,ELEC,Christiana Mall - Barnes & Noble,132 Christiana Mall,,Newark,DE,19702,,888-264-2208,E,,Public,6am-12am daily,,,,,,2.0,,,Volta,https://voltacharging.com/,GPS,39.679419,-75.651206,4/8/2021,166733,2022-02-10 19:42:29 UTC,P,,,8/31/2020,,,,,J1772,US,,,,Public,,public,,,SHOPPING_MALL,,,,,,,,,,,,,,,,,
23964,ELEC,Giant Food - Millsboro,25939 John J Williams Hwy,,Millsboro,DE,19966,,888-264-2208,E,,Public,6am-12am daily,,,,,,2.0,,,Volta,https://voltacharging.com/,GPS,38.630925,-75.193739,4/8/2021,166734,2022-02-10 19:42:29 UTC,P,,,8/31/2020,,,,,J1772,US,,,,Public,,public,,,GROCERY,,,,,,,,,,,,,,,,,
24541,ELEC,Delaware Technical Community College,100 Campus Drive,,Dover,DE,19904,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,2.0,,,Blink Network,http://www.blinkcharging.com/,GPS,39.197341,-75.559991,3/16/2022,167664,2022-03-16 22:55:14 UTC,,,,10/22/2020,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,
24682,ELEC,Wawa - Tesla Supercharger,2621 Philadelphia Pike,,Claymont,DE,19703,,877-798-3752,E,,Public,24 hours daily; for Tesla use only,,,,,,,8.0,,Tesla,https://www.tesla.com/supercharger,GPS,39.794553,-75.469448,10/11/2021,168041,2021-11-04 18:37:47 UTC,P,,,10/26/2020,,,,,TESLA,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,,,,,,,,,,
25699,ELEC,Bethany Beach Training Center,163 Scannell Blvd,"ATTN USERS:
This is a secure facility.  These stations are only available to staff, fleet, or approved visitors to BBTS.  Visitors include those renting trailers or RV sites.   This site is not open to the general public.",Bethany Beach,DE,19930,,800-663-5633,E,,Public,MO: 12:00am-12:00am; TU: 12:00am-12:00am; WE: 12:00am-12:00am; TH: 12:00am-12:00am; FR: 12:00am-12:00am; SA: 12:00am-12:00am; SU: 12:00am-12:00am,,,,,,2.0,,,SemaCharge Network,https://semaconnect.com/,GPS,38.5460507,-75.0609093,3/17/2022,169362,2022-03-17 00:22:38 UTC,,,,11/20/2020,,,,,J1772,US,,,,Public,,public,,,,,,,,,,FREE,,,,,,,,,,
25711,ELEC,ABESSINIO LLC STADIUM #3,1 St Rocco Way,,Wilmington,DE,19802,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,39.760311,-75.553089,3/17/2022,169376,2022-03-17 00:32:36 UTC,,,,11/20/2020,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
